Title,Efficiency,tandem,Year,reference
Mitigated front contact energy barrier for efficient and stable perovskite solar cells,25.7,single-junction,2024,"Mitigated front contact energy barrier for efficient and stable perovskite solar cells. Zhang, DY; Li, B; Hang, PJ; Xie, JS; Yao, YX; Kan, CX; Yu, XG; Zhang, YQ; Yang, DR. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Mesoporous structured MoS<sub>2</sub> as an electron transport layer for efficient and stable perovskite solar cells,25.7,single-junction,2024,"Mesoporous structured MoS<sub>2</sub> as an electron transport layer for efficient and stable perovskite solar cells. Koo, D; Choi, Y; Kim, U; Kim, J; Seo, J; Son, E; Min, H; Kang, J; Park, H. 2024. NATURE NANOTECHNOLOGY."
Conformal quantum dot-SnO<sub>2</sub> layers as electron transporters for efficient perovskite solar cells,25.7,single-junction,2022,"Conformal quantum dot-SnO<sub>2</sub> layers as electron transporters for efficient perovskite solar cells. Kim, M; Jeong, J; Lu, HZ; Lee, TK; Eickemeyer, FT; Liu, YH; Choi, IW; Choi, SJ; Jo, Y; Kim, HB; Mo, SI; Kim, YK; Lee, H; An, NG; Cho, S; Tress, WR; Zakeeruddin, SM; Hagfeldt, A; Kim, JY; Grätzel, M; Kim, DS. 2022. SCIENCE."
A helicene-based semiconducting polymer for stable and efficient perovskite solar cells,25.7,single-junction,2023,"A helicene-based semiconducting polymer for stable and efficient perovskite solar cells. He, LF; Zhang, YY; Wei, YF; Cai, YH; Zhang, J; Wang, P. 2023. MATTER."
Holistic dielectric and buffer interfacial layers enable high-efficiency perovskite solar cells and modules,25.7,single-junction,2024,"Holistic dielectric and buffer interfacial layers enable high-efficiency perovskite solar cells and modules. Li, H; Xie, GS; Fang, J; Wang, X; Li, SB; Lin, DX; Wang, DZ; Huang, NS; Peng, HC; Qiu, LB. 2024. NANO ENERGY."
FAPbI3-nanoparticles with ligands act synergistically in absorbent layers for high-performance and stable FAPbI3 based perovskite solar cells,25.68,single-junction,2025,"FAPbI3-nanoparticles with ligands act synergistically in absorbent layers for high-performance and stable FAPbI3 based perovskite solar cells. Zhang, WN; Bessho, T; Cojocaru, L; Nakazaki, J; Wang, HB; Liu, X; Furue, M; Uchida, S; Segawa, H. 2025. NANO ENERGY."
Simultaneous Suppression of Multilayer Ion Migration via Molecular Complexation Strategy toward High-Performance Regular Perovskite Solar Cells,25.68,single-junction,2024,"Simultaneous Suppression of Multilayer Ion Migration via Molecular Complexation Strategy toward High-Performance Regular Perovskite Solar Cells. Zhou, Q; Yang, YY; He, DM; Yang, K; Yu, Y; Liu, XX; Zhang, JJ; Shai, XX; Wang, JS; Yi, JH; Li, MC; Chen, JZ. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Organic emitters with near-unity photoluminescence to reinforce buried interface of perovskite solar cells and modules,25.67,single-junction,2024,"Organic emitters with near-unity photoluminescence to reinforce buried interface of perovskite solar cells and modules. Suo, ZY; Xiao, GB; Su, ZH; Dong, RM; Mu, XJ; Gao, XY; Wu, YY; Cao, J. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Realizing Stable Perovskite Solar Cells with Efficiency Exceeding 25.6% Through Crystallization Kinetics and Spatial Orientation Regulation,25.66,single-junction,2024,"Realizing Stable Perovskite Solar Cells with Efficiency Exceeding 25.6% Through Crystallization Kinetics and Spatial Orientation Regulation. Jiao, BX; Ye, YR; Tan, LG; Liu, Y; Ren, NY; Li, MH; Zhou, JJ; Li, H; Chen, Y; Li, XY; Yi, CY. 2024. ADVANCED MATERIALS."
Harnessing strong aromatic conjugation in low-dimensional perovskite heterojunctions for high-performance photovoltaic devices,25.66,single-junction,2024,"Harnessing strong aromatic conjugation in low-dimensional perovskite heterojunctions for high-performance photovoltaic devices. Li, B; Liu, Q; Gong, JQ; Li, S; Zhang, CL; Gao, DP; Chen, ZW; Li, Z; Wu, X; Zhao, D; Yu, ZX; Li, XT; Wang, Y; Lu, HP; Zeng, XC; Zhu, ZL. 2024. NATURE COMMUNICATIONS."
Stable Surface Contact with Tailored Alkylamine Pyridine Derivatives for High-Performance Inverted Perovskite Solar Cells,25.65,single-junction,2024,"Stable Surface Contact with Tailored Alkylamine Pyridine Derivatives for High-Performance Inverted Perovskite Solar Cells. Liu, SW; Sun, ZX; Lei, X; Miao, TY; Zhou, QS; Chen, R; Wang, JN; Ren, FM; Pan, YY; Cai, Y; Tan, ZT; Liu, WG; Liu, XX; Li, JB; Zhang, Y; Xu, BM; Liu, ZH; Chen, W. 2024. ADVANCED MATERIALS."
Cyclic Multi-Site Chelation for Efficient and Stable Inverted Perovskite Solar Cells,25.64,single-junction,2024,"Cyclic Multi-Site Chelation for Efficient and Stable Inverted Perovskite Solar Cells. He, JD; Yang, S; Luo, C; Li, FZ; Jiang, X; Liu, Z; Feng, YS; Wu, RH; Lan, ZR; Tao, MQ; Niu, GS; Yang, KY; Yuan, Y; Wang, YL; Deng, X; Chen, YJ; Zeng, SY; Zhao, Y; Wang, FY; Zhong, YW; Zhang, WF; Zhao, Q; Liu, F; Yu, G; Wang, JZ. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Supramolecular design principles in pseudohalides for high-performance perovskite solar mini modules,25.63,single-junction,2024,"Supramolecular design principles in pseudohalides for high-performance perovskite solar mini modules. Song, H; Kim, HB; Cho, SC; Lee, J; Yang, J; Jeong, WH; Won, JY; Jeong, HI; Yeop, J; Kim, JY; Lawrie, BJ; Ahmadi, M; Lee, BR; Kim, M; Choi, SJ; Kim, DS; Lee, M; Lee, SU; Jo, Y; Choi, H. 2024. JOULE."
Homogeneous coverage of the low-dimensional perovskite passivation layer for formamidinium-caesium perovskite solar modules,25.61,single-junction,2024,"Homogeneous coverage of the low-dimensional perovskite passivation layer for formamidinium-caesium perovskite solar modules. Li, J; Jin, CK; Jiang, RX; Su, J; Tian, T; Yin, CY; Meng, JS; Kou, ZK; Bai, S; Müller-Buschbaum, P; Huang, FZ; Mai, LQ; Cheng, YB; Bu, TL. 2024. NATURE ENERGY."
Double-side 2D/3D heterojunctions for inverted perovskite solar cells,25.6,single-junction,2024,"Double-side 2D/3D heterojunctions for inverted perovskite solar cells. Azmi, R; Utomo, DS; Vishal, B; Zhumagali, S; Dally, P; Risqi, AM; Prasetio, A; Ugur, E; Cao, FF; Imran, IF; Said, AA; Pininti, AR; Subbiah, AS; Aydin, E; Xiao, CX; Seok, SI; De Wolf, S. 2024. NATURE."
Inactive (PbI<sub>2</sub>)<sub>2</sub>RbCl stabilizes perovskite films for efficient solar cells,25.6,single-junction,2022,"Inactive (PbI<sub>2</sub>)<sub>2</sub>RbCl stabilizes perovskite films for efficient solar cells. Zhao, Y; Ma, F; Qu, ZH; Yu, SQ; Shen, T; Deng, HX; Chu, XB; Peng, XX; Yuan, YB; Zhang, XW; You, JB. 2022. SCIENCE."
Tailoring Perovskite Surface Potential and Chelation Advances Efficient Solar Cells,25.6,single-junction,2024,"Tailoring Perovskite Surface Potential and Chelation Advances Efficient Solar Cells. Shao, WL; Wang, HB; Fu, SQ; Ge, YS; Guan, HL; Wang, C; Wang, C; Wang, T; Ke, WJ; Fang, GJ. 2024. ADVANCED MATERIALS."
In situ energetics modulation enables high-efficiency and stable inverted perovskite solar cells,25.6,single-junction,2024,"In situ energetics modulation enables high-efficiency and stable inverted perovskite solar cells. Zhu, HW; Shao, BY; Shen, ZJ; You, S; Yin, J; Wehbe, N; Wang, LJ; Song, X; Abulikemu, M; Basaheeh, A; Jamal, A; Gereige, I; Freitag, M; Mohammed, OF; Zhu, K; Bakr, OM. 2024. NATURE PHOTONICS."
Molecularly tailorable metal oxide clusters ensured robust interfacial connection in inverted perovskite solar cells,25.6,single-junction,2024,"Molecularly tailorable metal oxide clusters ensured robust interfacial connection in inverted perovskite solar cells. Li, FZ; Zhao, CW; Li, YX; Zhang, Z; Huang, XF; Zhang, YF; Fang, J; Bian, TY; Zeng, ZY; Yin, J; Jen, AKY. 2024. SCIENCE ADVANCES."
Stabilized hole-selective layer for high-performance inverted p-i-n perovskite solar cells,25.6,single-junction,2023,"Stabilized hole-selective layer for high-performance inverted p-i-n perovskite solar cells. Li, Z; Sun, XL; Zheng, XP; Li, B; Gao, DP; Zhang, SF; Wu, X; Li, S; Gong, JQ; Luther, JM; Li, ZA; Zhu, ZL. 2023. SCIENCE."
Coordination engineering with crown ethers for perovskite precursor stabilization and defect passivation,25.6,single-junction,2024,"Coordination engineering with crown ethers for perovskite precursor stabilization and defect passivation. Zhang, ZY; Yang, YX; Huang, ZJ; Xu, QL; Zhu, SY; Li, MH; Zhao, P; Cui, H; Li, SH; Jin, X; Wu, XX; Han, MY; Zhang, Y; Zhao, NJ; Zou, C; Liang, QJ; Xian, LD; Hu, JS; Zhu, C; Chen, YH; Bai, Y; Li, YJ; Chen, Q; Zhou, HP; Zhang, B; Jiang, Y. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Constructing orderly crystal orientation with a bidirectional coordinator for high efficiency and stable perovskite solar cells,25.6,single-junction,2024,"Constructing orderly crystal orientation with a bidirectional coordinator for high efficiency and stable perovskite solar cells. Lee, J; Shin, YS; Oleiki, E; Seo, J; Roe, J; Lee, D; Lee, Y; Song, T; Jang, H; Song, JW; Lee, W; Lee, G; Kim, JY; Kim, DS. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Determining the bonding-degradation trade-off at heterointerfaces for increased efficiency and stability of perovskite solar cells,25.6,single-junction,2024,"Determining the bonding-degradation trade-off at heterointerfaces for increased efficiency and stability of perovskite solar cells. Chen, JX; Wang, X; Wang, T; Li, J; Chia, HY; Liang, HM; Xi, SB; Liu, SC; Guo, X; Guo, RJ; Jia, ZR; Yin, XX; Zhou, QL; Wang, YD; Shi, ZJ; Zhou, HY; Lai, D; Zhang, MS; Xing, ZX; Leow, WR; Yan, WT; Hou, Y. 2024. NATURE ENERGY."
High Open-Circuit Voltage (1.197 V) in Large-Area (1 cm<SUP>2</SUP>) Inverted Perovskite Solar Cell via Interface Planarization and Highly Polar Self-Assembled Monolayer,25.6,single-junction,2024,"High Open-Circuit Voltage (1.197 V) in Large-Area (1 cm<SUP>2</SUP>) Inverted Perovskite Solar Cell via Interface Planarization and Highly Polar Self-Assembled Monolayer. Sun, AX; Tian, CC; Zhuang, RS; Chen, C; Zheng, YT; Wu, XY; Tang, C; Liu, Y; Li, ZH; Ouyang, BL; Du, JJ; Li, ZY; Cai, JY; Chen, JL; Wu, XL; Hua, Y; Chen, CC. 2024. ADVANCED ENERGY MATERIALS."
Efficient and Stable Inverted Perovskite Solar Cells Enabled by a Fullerene-Based Hole Transport Molecule,25.58,single-junction,2024,"Efficient and Stable Inverted Perovskite Solar Cells Enabled by a Fullerene-Based Hole Transport Molecule. Luo, JF; Zhang, H; Sun, C; Hou, EL; Wang, X; Guo, S; Chen, JF; Cheng, S; Chen, SS; Zhao, XJ; Xie, LQ; Meng, LY; Tian, CB; Wei, ZH. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Post-Treated Polycrystalline SnO<sub>2</sub> in Perovskite Solar Cells for High Efficiency and Quasi-Steady-State-IV Stability,25.56,single-junction,2024,"Post-Treated Polycrystalline SnO<sub>2</sub> in Perovskite Solar Cells for High Efficiency and Quasi-Steady-State-IV Stability. Song, JW; Shin, YS; Kim, M; Lee, J; Lee, D; Seo, J; Lee, Y; Lee, W; Kim, HB; Mo, SI; An, JH; Hong, JE; Kim, JY; Jeon, I; Jo, Y; Kim, DS. 2024. ADVANCED ENERGY MATERIALS."
Eliminating performance loss from perovskite films to solar cells,25.55,single-junction,2024,"Eliminating performance loss from perovskite films to solar cells. Luo, C; Gao, F; Wang, XJ; Zhan, CL; Zhang, XC; Zheng, GHJ; Zhang, XS; Gao, XY; He, ZB; Zhao, Q. 2024. SCIENCE ADVANCES."
CsPb<sub>2</sub>Br<sub>5</sub>-assisted direct crystallization of the 3D perovskite phase for highly efficient and stable solar cells,25.55,single-junction,2024,"CsPb<sub>2</sub>Br<sub>5</sub>-assisted direct crystallization of the 3D perovskite phase for highly efficient and stable solar cells. Gao, CY; Gao, K; Zhang, BQ; Sun, XH; Zhao, QQ; Wang, X; Wang, F; Sun, ML; Cui, GL; Pang, SP. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Interfacial Proton Precompensation: Suppressing Deprotonation-Driven Lattice Collapse for Enhanced Efficiency and Stability in Perovskite Solar Cells,25.55,single-junction,2024,"Interfacial Proton Precompensation: Suppressing Deprotonation-Driven Lattice Collapse for Enhanced Efficiency and Stability in Perovskite Solar Cells. Xu, BY; Liu, GZ; Wang, PF; Li, WZ; Ying, ZH; Liu, J; Shi, YT. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Stress regulation <i>via</i> surface micro-etching and reconstruction for enhancing triple-cation perovskite solar cells with an efficiency of 25.54%,25.54,single-junction,2024,"Stress regulation <i>via</i> surface micro-etching and reconstruction for enhancing triple-cation perovskite solar cells with an efficiency of 25.54%. Ding, Y; Feng, ER; Lu, SY; Chang, JH; Long, CY; Tong, SC; Li, HY; Yang, JL. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Reducing nonradiative recombination for highly efficient inverted perovskite solar cells via a synergistic bimolecular interface,25.53,single-junction,2024,"Reducing nonradiative recombination for highly efficient inverted perovskite solar cells via a synergistic bimolecular interface. Xiong, SB; Tian, FY; Wang, F; Cao, AP; Chen, Z; Jiang, S; Li, D; Xu, B; Wu, HB; Zhang, YF; Qiao, HW; Ma, ZF; Tang, JX; Zhu, HM; Yao, YF; Liu, XJ; Zhang, LJ; Sun, ZR; Fahlman, M; Chu, JH; Gao, F; Bao, QY. 2024. NATURE COMMUNICATIONS."
Glycol Monomethyl Ether-Substituted Carbazolyl Hole-Transporting Material for Stable Inverted Perovskite Solar Cells with Efficiency of 25.52 %,25.52,single-junction,2024,"Glycol Monomethyl Ether-Substituted Carbazolyl Hole-Transporting Material for Stable Inverted Perovskite Solar Cells with Efficiency of 25.52 %. Zhou, H; Wang, WL; Duan, YW; Sun, R; Li, Y; Xie, Z; Xu, DF; Wu, MZ; Wang, YL; Li, HX; Fan, QP; Peng, Y; Yao, Y; Liao, CT; Peng, Q; Liu, SZ; Liu, ZK. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Towards highly efficient and stable perovskite solar cells: Suppressing ion migration by inorganic boric acid stabilizer,25.52,single-junction,2025,"Towards highly efficient and stable perovskite solar cells: Suppressing ion migration by inorganic boric acid stabilizer. Gao, K; Fan, YP; Liu, DC; Zhao, QQ; Zhang, BQ; Gao, CY; Zhang, XX; Ji, HP; Wang, L; Pang, SP. 2025. NANO ENERGY."
Surface Formamidine Cation Immobilization for Efficient FA-Based Perovskites Solar Cells,25.52,single-junction,2024,"Surface Formamidine Cation Immobilization for Efficient FA-Based Perovskites Solar Cells. Liu, HF; Liu, TT; Wang, XT; Hu, GC; Zheng, BC; Yu, XG; Wang, Y; Yang, DR. 2024. ADVANCED ENERGY MATERIALS."
A Single-Step Cleaning Process for Simultaneous Removal of Surface Impurities and Passivation of Sub-Surface Defects in Perovskite Solar Cells,25.51,single-junction,2024,"A Single-Step Cleaning Process for Simultaneous Removal of Surface Impurities and Passivation of Sub-Surface Defects in Perovskite Solar Cells. Cai, WX; Wang, YD; Li, WZ; Yin, YF; Liu, J; Cai, WQ; Wang, SH; Guo, JY; Chang, S; Li, SK; Wang, XY; Shi, YT. 2024. ADVANCED ENERGY MATERIALS."
Efficient and stable pure ?-phase FAPbI<sub>3</sub> perovskite solar cells with a dual engineering strategy: Additive and dimensional engineering approaches,25.5,single-junction,2022,"Efficient and stable pure ?-phase FAPbI<sub>3</sub> perovskite solar cells with a dual engineering strategy: Additive and dimensional engineering approaches. Kareem, SH; Elewi, MH; Naji, AM; Ahmed, DS; Mohammed, MKA. 2022. CHEMICAL ENGINEERING JOURNAL."
Aza[5]helicene-Derived Semiconducting Polymers for Improved Performance in Perovskite Solar Cells: Exploring Energetic and Morphological Influences,25.5,single-junction,2024,"Aza[5]helicene-Derived Semiconducting Polymers for Improved Performance in Perovskite Solar Cells: Exploring Energetic and Morphological Influences. Zhang, YY; He, LF; Cai, YH; Zhang, J; Wang, P. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
"Engineering Pyreno[1,2-<i>b</i>:8,7-<i>b′</i>]dithiophene-Based Conjugated Polymers for Efficient and Stable Perovskite Solar Cells",25.5,single-junction,2024,"Engineering Pyreno[1,2-<i>b</i>:8,7-<i>b′</i>]dithiophene-Based Conjugated Polymers for Efficient and Stable Perovskite Solar Cells. Cai, YH; He, LF; Fang, LY; Zhang, YY; Zhang, J; Yuan, Y; Wang, P. 2024. MACROMOLECULES."
TiO<sub>2</sub> Electron Transport Layer with p-n Homojunctions for Efficient and Stable Perovskite Solar Cells,25.5,single-junction,2024,"TiO<sub>2</sub> Electron Transport Layer with p-n Homojunctions for Efficient and Stable Perovskite Solar Cells. Zhao, WH; Guo, PF; Wu, JH; Lin, DY; Jia, N; Fang, ZY; Liu, C; Ye, Q; Zou, JJ; Zhou, YY; Wang, HQ. 2024. NANO-MICRO LETTERS."
Design of Bridge Molecules for High-Efficiency FAPbI<sub>3</sub>-Based Perovskite Solar Cells,25.49,single-junction,2024,"Design of Bridge Molecules for High-Efficiency FAPbI<sub>3</sub>-Based Perovskite Solar Cells. Zhao, CX; Zhang, Q; Lyu, Y; Lian, XX; Wang, KX; Shen, F; Luo, M; Liu, HJ; Han, HF; Xie, FX; Mo, XL; Yang, YG; Xu, J; Jen, AKY; Zhang, H; Yao, JX. 2024. ACS ENERGY LETTERS."
Internal Encapsulation Enables Efficient and Stable Perovskite Solar Cells,25.49,single-junction,2025,"Internal Encapsulation Enables Efficient and Stable Perovskite Solar Cells. Li, W; Bao, XZ; Zhu, AN; Gu, H; Mao, YL; Wang, BZ; Wang, G; Guo, J; Li, Y; Xing, GC. 2025. ADVANCED FUNCTIONAL MATERIALS."
Building Scalable Buried Interface for High-Performance Perovskite Photovoltaic Devices,25.47,single-junction,2024,"Building Scalable Buried Interface for High-Performance Perovskite Photovoltaic Devices. Yang, M; Qin, ZZ; Chen, MJ; Lin, XS; Luan, XF; Yang, ZB; Han, LY; Wang, YB. 2024. ADVANCED FUNCTIONAL MATERIALS."
Buried Interface Engineering-Assisted Defects Control and Crystallization Manipulation Enables Stable Perovskite Solar Cells with Efficiency Exceeding 25%,25.47,single-junction,2024,"Buried Interface Engineering-Assisted Defects Control and Crystallization Manipulation Enables Stable Perovskite Solar Cells with Efficiency Exceeding 25%. Chen, PX; Zheng, QS; Jin, ZH; Wang, YH; Wang, SB; Sun, WH; Pan, WC; Wu, JH. 2024. ADVANCED FUNCTIONAL MATERIALS."
Lead (Pb) management in the entire life cycle of highly efficient and stable perovskite solar cells,25.47,single-junction,2024,"Lead (Pb) management in the entire life cycle of highly efficient and stable perovskite solar cells. Liu, K; Hu, TX; Cai, ZH; Liu, FC; Rafique, S; Li, XG; Deng, LL; Li, CY; Wang, YY; Guo, Q; Yue, XF; Wang, J; Yang, YG; Cong, CX; Chen, SY; Zhang, J; Yu, AR; Zhan, YQ. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Self-healing ion-conducting elastomer towards record efficient flexible perovskite solar cells with excellent recoverable mechanical stability,25.47,single-junction,2024,"Self-healing ion-conducting elastomer towards record efficient flexible perovskite solar cells with excellent recoverable mechanical stability. Xue, TY; Fan, BJ; Jiang, KJ; Guo, Q; Hu, XT; Su, M; Zhou, ER; Song, YL. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Across-Interface Effect of Alkylamine Salt on the Formation of Intermediate Phase and Defect Passivation in High-Performance of Perovskite Solar Cells,25.47,single-junction,2025,"Across-Interface Effect of Alkylamine Salt on the Formation of Intermediate Phase and Defect Passivation in High-Performance of Perovskite Solar Cells. Chen, PX; Pan, WC; Wang, SB; Wang, YH; Yan, ZL; Zheng, QS; Sun, WH; Lan, Z; Wu, JH. 2025. ADVANCED FUNCTIONAL MATERIALS."
Multistage Regulation Strategy via Fluorine-Rich Small Molecules for Realizing High-Performance Perovskite Solar Cells,25.46,single-junction,2024,"Multistage Regulation Strategy via Fluorine-Rich Small Molecules for Realizing High-Performance Perovskite Solar Cells. Chang, X; Li, KP; Han, Y; Wang, GH; Li, ZS; Li, DF; Li, FS; Zhu, X; Wang, H; Chen, JZ; Zhu, T. 2024. ADVANCED SCIENCE."
Efficient Perovskite Solar Cells with Iodine-Doped Spiro-OMeTAD Hole Transport Layer via Fast Oxidation,25.44,single-junction,2023,"Efficient Perovskite Solar Cells with Iodine-Doped Spiro-OMeTAD Hole Transport Layer via Fast Oxidation. Ma, F; Zhao, Y; Qu, ZH; Yu, SQ; Chu, ZM; Xiong, Z; Zhou, JS; Wei, ZM; Zhang, XW; You, JB. 2023. SOLAR RRL."
Ion-Diffusion Management Enables All-Interface Defect Passivation of Perovskite Solar Cells,25.43,single-junction,2023,"Ion-Diffusion Management Enables All-Interface Defect Passivation of Perovskite Solar Cells. Shen, LA; Song, PQ; Zheng, LF; Wang, LP; Zhang, XG; Liu, KK; Liang, YM; Tian, WJ; Luo, YJ; Qiu, JH; Tian, CB; Xie, LQ; Wei, ZH. 2023. ADVANCED MATERIALS."
Inhibiting perovskite decomposition by a creeper-inspired strategy enables efficient and stable perovskite solar cells,25.42,single-junction,2024,"Inhibiting perovskite decomposition by a creeper-inspired strategy enables efficient and stable perovskite solar cells. Du, SX; Huang, H; Lan, ZE; Cui, P; Li, L; Wang, M; Qu, SJ; Yan, LY; Sun, CX; Yang, YY; Wang, XX; Li, MC. 2024. NATURE COMMUNICATIONS."
Mesoscale Ordering 3D Mosaic Self-Assembly of Dopant-Free Hole Transport Material for Perovskite Solar Cells,25.42,single-junction,2024,"Mesoscale Ordering 3D Mosaic Self-Assembly of Dopant-Free Hole Transport Material for Perovskite Solar Cells. Liu, XY; Wang, KL; Li, YH; You, S; Liu, T; Lv, YF; Li, Y; Wang, Y; He, HX; Li, YX; Chen, Q; Xie, PF; Chen, YH; Li, X; Xu, ZX. 2024. ACS ENERGY LETTERS."
Seed-Mediated Growth for High-Efficiency Perovskite Solar Cells: The Important Role of Seed Surface,25.41,single-junction,2024,"Seed-Mediated Growth for High-Efficiency Perovskite Solar Cells: The Important Role of Seed Surface. Hu, YQ; Zhong, QX; Song, B; Xu, HY; Li, QY; Li, SD; Qiu, YH; Yang, XY; Chen, JX; Zhang, Q; Zhu, R; Cao, MH. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Regulating the Crystallization of FAPbI<sub>3</sub>-Based Perovskite with a Furan Substituted Ethylammonium Additive for Achieving Highly Efficient Solar Cells,25.41,single-junction,2024,"Regulating the Crystallization of FAPbI<sub>3</sub>-Based Perovskite with a Furan Substituted Ethylammonium Additive for Achieving Highly Efficient Solar Cells. Zhao, CX; Zhang, Q; Lyu, Y; Liu, J; Shen, F; Liu, HJ; Kong, H; Han, HF; Krishna, A; Xu, J; Zhang, H; Yao, JX. 2024. ADVANCED FUNCTIONAL MATERIALS."
"2,2′-Bipyridyl-4,4′-Dicarboxylic Acid Modified Buried Interface of High-Performance Perovskite Solar Cells",25.41,single-junction,2024,"2,2′-Bipyridyl-4,4′-Dicarboxylic Acid Modified Buried Interface of High-Performance Perovskite Solar Cells. Zhao, MM; Gu, WM; Jiang, KJ; Jiao, XN; Gong, K; Li, FZ; Zhou, XQ; Song, YL. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Minimizing buried interfacial defects for efficient inverted perovskite solar cells,25.4,single-junction,2023,"Minimizing buried interfacial defects for efficient inverted perovskite solar cells. Zhang, S; Ye, FY; Wang, XY; Chen, R; Zhang, HD; Zhan, LQ; Jiang, XY; Li, YW; Ji, XY; Liu, SJ; Yu, MJ; Yu, FR; Zhang, YL; Wu, RH; Liu, ZH; Ning, ZJ; Neher, D; Han, LY; Lin, YZ; Tian, H; Chen, W; Stolterfoht, M; Zhang, LJ; Zhu, WH; Wu, YZ. 2023. SCIENCE."
